Text	Theme
"Finally, we are fortunate to have exceptionally talented and dedicated employees. I never cease to be impressed by their commitment to M&S and their pride in what they do. One of the great highlights of my year is meeting the many who have given 25 and 40 years service. There are some quite remarkable stories amongst them and they exemplify the spirit alive in the company. We thank every one of our employees for their contribution through a period of considerable change."	Human
"In June 2013, Jeremy Darroch, a non-executive director and Chairman of our Audit Committee, stepped down from the Board after six years. Andy Halford, who joined us in January 2013, has taken over as Chairman of that committee, as planned"	Unclassified
"As we announced last year, our longest serving non-executive director Steven Holliday will leave the Board after the AGM this July, having spent a decade with us. I would like to thank Steve for his outstanding contribution, and in particular for his role as Chairman of the Remuneration Committee for the last three years. Vindi Banga will replace Steve as Chair on his departure"	Unclassified
"Our heritage, values and Plan AM&S has been trading for 130 years. Our success over that time stems in large part from our commitment to clear core values, including quality and trust. Just as enduring values have defi ned our past, so they are crucial to our future. In recent years public mistrust has spread through many areas of business and this stems from the absence of clear values. This is not the case at M&S, where an emphasis on integrity is at the heart of the way we do business. We expect to be held accountable by our customers, shareholders and other stakeholders in this respect."	Social_Relationship
"Nothing demonstrates our commitment to our values more than Plan A, our programme to become the world’s most sustainable major retailer. We have deliberately set the bar high for ourselves. We strive for excellence in this fi eld and are candid when we don’t measure up. ‘Doing the right thing’ makes economic as well as ethical and moral sense: a sustainable business is also a profi table business. We have just launched a new set of commitments that will refocus Plan A to ensure M&S is set up to respond to the new models of sustainable change. The commitments will also ensure that Plan A’s values are clearly communicated to customers"	Social_Relationship
Stakeholder engagementWe take time to inform our stakeholders about progress in the business and we have found this is particularly important at a time of major transformation. We have held 10 investor days on different aspects of our business since August 2012. All information shared at these events is available to shareholders at	Social_Relationship
We also have strong internal channels of communication to keep employees informed. Our annual internal Business Conference ensures both our retail and head offi ce leadership teams understand	Human
"LeadershipYour Board rigorously challenge each other on strategy, performance, responsibility and accountability to ensure that the decisions we make are of the highest quality"	Human
"EffectivenessThe Board’s performance is scrutinised in an annual effectiveness review. This examines the progress we are making against our plan, our collective and individual effectiveness, and the independence of our non-executive directors."	Human
Risk managementAll of our decisions are discussed within the context of the risks involved. Effective risk management is central to us achieving our strategic objectives	Unclassified
"EngagementMaintaining strong relationships with our shareholders, both private and institutional, is crucial to achieving our aims. We hold numerous events throughout the year to maintain an open dialogue with investors"	Social_Relationship
	
"OverviewIt is crucial that we listen to our customers to understand what they expect from us and how the economy is affecting their shopping behaviour. Our Customer Insight Unit (CIU) listens to and analyses responses from 18,000 customers a week and combines market research with customer feedback to monitor the national mood"	Social_Relationship
"Market overviewThe UK economy is improving. Gross Domestic Product is predicted to grow by 2.7% in 2014, while house prices have increased by 8.5% in a year. Inﬂ ation is falling and employment is rising. Just 14 months ago, consumers were concerned about a triple-dip recession. Now, a genuine recovery feels like a more realistic possibility."	Unclassified
"As a result, there has been a steady increase in consumer confi dence over the last year and people have started to feel that the worst is over. But the increase in confi dence is not yet translating into a complete turnaround in consumer behaviour. Spending remains measured. Despite glimpses of happier times ahead, people remain level-headed. Indeed, although confi dence is higher than it has been for years, it is still in negative territory. There are two main reasons why."	Social_Relationship
"First, people realise that we are not out of the woods yet. Consumer debt is still high, the government’s austerity programme could run for another six years and wage growth has only just caught up with inﬂ ation. People recognise that the current low interest rates will not last for eve"	Social_Relationship
"Second, the downturn has made consumers warier and more alert than they were. They are telling themselves that they won’t be led into trouble again. They blame the banking crisis on reckless extravagance and the notion of consequence has taken root in the national psyche. As a result, shoppers are being more considered and consumers are being more cautious with their money."	Unclassified
"How this has affected M&SSubdued spending continued to affect the retail sector this year, and saw deep levels of promotion, particularly in the lead-up to Christmas. M&S responded to this promotional landscape by offering more promotions than in previous years. However, the emphasis on treats played to our strengths. Whether they were after a new pink coat, a special meal or cushions to refresh the home, customers were constantly recognising the quality of M&S products"	Intellectual
"When it came to clothing, people were spending more money on our ‘better’ and ‘best’ ranges. This fi tted in with our strategy of emphasising the quality, style and heritage of our clothes. The customer and fashion press feedback on our new ranges was extremely positive"	Social_Relationship
"Customers are also willing to spend a little more on special events. We responded with newness and innovation, and more special occasion foods than ever before."	Intellectual
"The internet has changed the way consumers shop. An increasing number of customers are using online as a source of inspiration and research before they purchase in stores or online. They are looking for editorial fashion and lifestyle guidance, and want a seamless brand experience wherever they choose to browse and buy. Customers also like"	Social_Relationship
"shopping in store and expect the ﬂ exibility offered by click and collect services – they want to purchase what they want, when and where they want it. We responded with our new website, which focuses on delivering a better browsing experience, as well as an improved buying process, as explained on page 26"	Unclassified
"Our priority markets of India, China, the Middle East and Russia have all seen GDP growth. The rise of the middle class in these markets has fi rmly established shopping malls as the key vehicle for international trade, with the landscape dominated by large shopping mall operators who have specialist insight and expertise of the markets in which they operate. This has driven our international strategy of working with partners to open ﬂ agship stores in prime malls and key shopping locations. Another emerging trend is the growth of the lingerie market in the Middle East and India, which is expected to grow by 30% and 54% respectively by 2017. We responded with our fi rst standalone Lingerie & Beauty store"	Unclassified
"The Eurozone is also on the turn. The growth opportunity in our other priority market, Western Europe, lies in the rapidly expanding online clothing market. We responded with a bricks and clicks strategy, which focuses on ﬂ agship stores that deliver brand presence supported by a strong online offer. Our food is as unique internationally as it is in the UK, and the growing demand in Western Europe for convenience food shops opens up new opportunities for Food store growth."	Unclassified
	
"ClothingThe overall clothing market grew in value terms but slowed in volume terms as shoppers were more measured in their spending. Whilst confi dence levels were up on last year, this did not translate to strong sales on the high street, although signs of improvement in the clothing market started to come through."	Financial
"We listened to our customers and focused the relaunch of our Womenswear on style, quality and design. We upgraded 70% of our fabrics, added more luxurious fi nishes and improved our ‘better and best’ offer with more leather, silk and cashmere. We brought more clarity and distinction    to our sub-brands to make them more       compelling and easier to shop, which         had a good response from our          target audiences. The well-           received relaunch was also             accompanied by a new, more              inspirational store concept."	Intellectual
"FoodInﬂ ation fell to below the Bank of England’s target of 2% for the fi rst time in over four years, giving households a welcome reprieve from the squeeze on their fi nances. Food price growth was among those to fall."	Unclassified
"Our Food business had another very strong year as customers were drawn by our top quality, competitively priced food and offers that continue to deliver restaurant-quality food at home. Our more indulgent festive range resulted in our biggest Christmas ever. The excitement and newness of our ranges continued to delight customers"	Intellectual
"M&S.comThe UK online retail market grew by 16% in 2013 and is forecast to grow by a further 17% this year. 2013 was the ‘year of the mobile’, with twice as much spent via mobile devices in December 2013 than the year before"	Unclassified
"Our new ﬂ agship, M&S.com, launched in the spring and was built around the customer, with over two years of                            extensive testing with                            hundreds of existing                            and potential customers.                            The industry-leading                            site is designed to                            deliver a joined-up                            experience, whether                            viewed on a desktop,                            tablet or mobile phone"	Intellectual
Our bold ‘Leading Ladies’ campaign reasserted our quality credentials while also bringing some excitement back to our fashion campaigns. Our Christmas TV ad rekindled customers’ love of                                      Magic and                                        Sparkle. We                                         increased the                                       use of social                                    media in our                                     marketing mix.	Intellectual
	
"Understanding our customersWe listen to and closely monitor how our customers are feeling and how the wider economy is impacting their spending decisions. This way we can ensure that the products and services that we sell remain relevant to customers’ needs. Our Customer Insight Unit (CIU) is a dedicated in-house team that listens and talks to around 18,000 customers every week through research and focus groups. We also have a constant dialogue with our 1.8 million Facebook fans and 318,000 Twitter followers. By understanding customers’ everyday lives today, we can also anticipate how their needs and habits might change in the future."	Social_Relationship
"The M&S difference With our rich heritage, M&S occupies a unique place in Britain and is regularly voted as one of the UK’s most trusted brands."	Social_Relationship
"Since we opened our fi rst penny bazaar in Leeds 130 years ago, quality and innovation remain the steering force behind our business and they run through everything we do. They are what make the M&S difference across the 54 territories in which we now operate."	Intellectual
"Competitive advantageOur clothing and food is developed especially for us, and our customers cannot buy them anywhere else – a business model which makes us unique. We have had an innovation culture since we went into business in 1884 and it ensures our products always stand out. We believe that encouraging innovation among our employees – from our clothing designers and food technologists, to our visual merchandisers and customer assistants – gives us a point of difference over our competitors"	Intellectual
	
"Our store network covers a diverse range of locations from UK high streets and retail parks to our international ﬂ agships on key shopping streets and malls. Our M&S Simply Food stores in city centres and travel locations ensure we are in the most convenient places for our customers. We are improving our operations behind the scenes to ensure that the business is as effi cient as possible: from our tills to our distribution network to our web platform. This year, we launched our new M&S.com website, as well as our vast 900,000 sq ft distribution centre at Castle Donington, which forms part of the radical reshaping of our warehouse network. Both will improve our ability to reach our customers faster and in whatever way is most convenient for them."	Manufactured
"Robust fi nancial managementWe believe that having the correct systems and processes in place is as important as fi rm cost management when it comes to managing our fi nances. Ongoing improvements in IT, availability and buying are key factors in helping us mitigate cost increases"	Intellectual
"Our funding approach is similarly disciplined. Future growth is funded through existing cash ﬂ ows, a policy which supports our commitment to maintain an investment grade credit rating"	Financial
"Strong relationshipsWorking closely with our suppliers is hugely important to us – these relationships underpin the trust in our brand. We collaborate with them on every step of a product’s journey to ensure that we have a healthy, effi cient and mutually-benefi cial relationship"	Social_Relationship
"M&S has over 3,000 product, raw material and service suppliers with current social compliance assessments covering many aspects of human rights listed on the Supplier Ethical Data Exchange (SEDEX). We are long-standing members of the UK-based Ethical Trading Initiative (ETI) and Global Social Compliance Programme. We work with our partners and suppliers to assess performance and enact corrective actions against our Global Sourcing Principles. Read more on our sourcing principles"	Social_Relationship
"As well as training our employees to the highest standards, we always make sure that M&S colleagues are kept up to date with developments in the business. They are also able to connect with each other via our Yammer internal social network"	Human
"We hold regular events with members of the print and broadcast media to ensure that our customers are kept abreast of developments in our business via the press.Social purposeM&S cares deeply about the communities in which we operate and our stores are often community hubs. That’s why we encourage volunteer work by our employees and open our stores for charity events. We work hard to engage our customers in Plan A – the more we involve them, the greater impact we will"	Social_Relationship
"have. This year, our employees and customers helped to raise a total of £4.2m for local charities and diverted 4 million pieces of clothing from being thrown away through our Shwopping initiative.Plan A affects every decision we make; it forces us to think and do things differently. The scheme has grown signifi cantly since we launched our initial sustainability commitments in 2007 and has gone from being prescriptive to being instinctive within the business. To fi nd out more about the progress we made this year and our new Plan A commitments, visit"	Social_Relationship
"Returns to shareholdersOur dividend policy remains unchanged: to remain progressive with payouts to shareholders broadly twice covered by earnings. Through our Dividend Re-investment Plan, shareholders can automatically use their cash dividend to purchase additional shares in M&S"	Unclassified
	
"I am pleased to say that this year we have taken several signifi cant steps forward, and I have always described M&S’s transformation as a step-by-step process. As we come to the end of our three-year transformation programme, much of our investment is starting to bear fruit and we have built a business that is more relevant for the future retail marketplace.Sales over the last year rose by 2.7% and our clothing business is beginning to show clear signs of improvement. Our priorities for the year ahead are to continue to turn around our General Merchandise (GM) performance, to drive our Food business and to maximise the many opportunities around our new M&S.com ﬂ agship and in our international markets"	Unclassified
"Performance overviewOur performance this year was mixed. Our Food division had an excellent year, outperforming the market, and our International division also saw strong growth. We saw online sales rise 22.8% over the year and launched our new website. We were particularly pleased that we saw positive sales growth in clothing in the last quarter. But despite this welcome improvement, our GM division is still not satisfactory and growth in our clothing business needs to be sustained. There remains much to do in GM but I am confi dent that we are on the right track"	Financial
"quality and style. We have upgraded our store environments, launched our new website and accelerated our international expansion. We have also built the foundations of a robust infrastructure through new IT systems and logistics developments as we start to reshape our distribution network to a single-tier network"	Manufactured
"FoodOur Food business continues its strong performance, now with 18 consecutive quarters of like-for-like growth. 2013/14 was another very strong year, ahead of plan and ahead of the market. Sales rose 4.2% as customers continued to enjoy the quality and newness of our products."	Financial
"Our unique position as an own-brand, specialist food retailer with a sizeable high street presence means that we can reach millions of customers a week with at least 5,000 products out of our range of 6,400. We continue to lead on speciality, quality and innovation. But being a specialist does not mean being expensive. Customers tell us that they get good value when they shop at M&S"	Intellectual
"M&S.comWe are becoming a more multi-channel and agile business. Our new M&S.com ﬂ agship opened in February after over two years of extensive customer research and testing. Where previously we operated on an Amazon platform, we now have a powerful and ﬂ exible platform of our own, allowing continuous improvement and supported by the right skills and culture internally to drive continual innovation. The site is backed by our new 900,000 sq ft distribution centre in Castle Donington."	Intellectual
"Our online sales continued to grow as more customers shopped via their computer, tablet or mobile phone"	Financial
	
"StoresThe roll-out of our new store formats continued apace this year. Our top 70 stores already have refreshed Womenswear departments, and we are introducing revamped Footwear, Menswear and Beauty departments. A key feature of the new stores is their use of technology, from large touchscreens to our very popular Shop Your Way service"	Intellectual
"n line with our ‘bricks and clicks’ strategy, and to complement our existing ﬂ agship stores and local website, we announced a partnership with Relay France to open franchise Food stores in key travel locations in Paris, a model that we will replicate in other markets."	Intellectual
"BrandThrough our marketing activity, this year we aimed to re-establish M&S’s quality and heritage credentials. Our bold, ‘Leading Ladies’, campaigns showcased our Womenswear lines and featured a diverse cast of British women of achievement. The ads achieved high levels of brand recognition. Our Christmas campaign, which revived our famous, ‘Magic & Sparkle’ strapline, combined clothing and food for the fi rst time and achieved exceptionally high recognition levels"	Intellectual
"Plan AThe principles of Plan A underpin everything that we do. Through initiatives such as Shwopping, our clothes recycling scheme, and the Big Beach Clean-up"	Natural
customers and colleagues participated in a wide range of Plan A activities this year. Increasing numbers of our suppliers are also now involved in making our sustainability goals a reality. We have worked hard to make Plan A an integral part of our business and our brand	Social_Relationship
"There remain signifi cant growth opportunities overseas, where we see the potential for 250 new stores in the next three years. Expansion will continue in our priority markets and we will increase our franchise operations, as we believe that this is a low-capital but high-impact way of expanding. Where possible, we will also expand our Food offer overseas, particularly in Western Europe"	Manufactured
We are working to deliver a progressive improvement in margin over the coming years and we are committed to improving our free cash ﬂ ow position.	Financial
Building on our progressWe have come to the end of our three-year programme to modernise M&S. It has been a period of profound and transformational change in the business. We must now build on the foundations that we have laid	Intellectual
"General MerchandiseIn clothing, we will continue to drive the improvements in our ranges, with a focus on quality and style. Looking ahead, we will increase levels of newness and availability down the chain, while making sure that our ranges are appropriate to our customers’ needs"	Intellectual
"We believe that we can improve GM margins. Changes to our sourcing operations will see us signifi cantly increase the amount of direct sourcing that we do, particularly in Asia. We will also increase the amount of fabric we obtain through our Open-to-Buy initiative"	Financial
"Some of our ranges still need to be refreshed. We are working to address this. We must also do more to make our core 55-year-old customers feel at home when they shop with us, while still appealing to customers of all ages"	Social_Relationship
"Food, International and M&S.comWe will continue to grow our Food business by opening 150 new UK M&S Simply Food stores over the next three years. We will keep investing in innovation, quality and newness to ensure that – as a specialist – we offer our customers exciting, great value products. Through supply chain effi ciencies, we will work to improve our margins."	Intellectual
	
"Our new ﬂ agship We call M&S.com our new ﬂ agship. Radically different and signifi cantly better, it’s the best representation of what M&S stands for today. The site contains a range of new features and functions"	Manufactured
"Extending our reach This year we opened our largest international store in Kuwait, our fi rst store in Lebanon and our biggest store in India."	Manufactured
"Convenience and ﬂ exibility Online sales rose by 23% this year as customers increasingly chose the convenience and ﬂ exibility of shopping with us via their computer, tablet or mobile phone. Our multi-channel strategy allows customers to shop with us anytime, anyplace, anywhere"	Intellectual
A global plan Plan A is not just about the UK. We are now carbon neutral in all our own-operated and joint venture locations worldwide.	Natural
"The Hague In February we opened a 51,700 sq ft ﬂ agship in The Hague. The store, which sells extensive food and clothing ranges, forms part of our ‘bricks and clicks’ strategy in the Netherlands. It sits alongside our Dutch          site, marksandspencer.nl, our Kalverstraat multi-channel store in Amsterdam and a series of food stores."	Manufactured
"Youth employment We know that the high level of youth unemployment is one of the biggest issues facing the country. Through our Make Your Mark scheme, we are giving young people the   confi dence and skill sets   they need to make the   all-important fi rst steps on the career ladde"	Human
"rusted for special occasions We had a record Christmas in Food, with sales up 6.1%, including our biggest ever day at £63m. We sold 1.3 million Christmas puddings and one in four families enjoyed an M&S turkey on Christmas Day"	Financial
	
"Style & Living Style & Living is the independent editorial section of our new website, offering customers everything from Editor’s Picks of all the latest trends to style guides and in-depth articles"	Unclassified
"Multi-channel Customers in 9 international territories can buy M&S products from in-language, local currency websites. It is part of our plan to roll-out our multi-channel strategy to more countries"	Intellectual
"FundraisingOur employees and customers have raised £4.2m this year through various fundraising initiatives and charity events, including a 24-hour bike relay and participation in the World’s Biggest Coffee Morning."	Social_Relationship
Quality and style Customers are responding to the improved quality and style of our clothing ranges and we returned our Womenswear sales to growth for the fi rst time in three years	Financial
Castle Donington Having a sleek multi-channel business is as much about what goes on behind the scenes as what happens on-screen	Unclassified
"Fresh food overseas We now have 10 Food stores overseas, with plans to open more in key travel locations in major cities, meaning that more customers can enjoy fresh M&S food every da"	Manufactured
	
"Group Revenue£10.3bn 2.7%Defi nition: Total Group sales including retail sales for owned business and wholesale sales to franchise partners.This year Group revenues were driven by good performance across our Food, M&S.com and International businesses"	Financial
Defi nition: Gross margin reﬂ ects the percentage of sales revenue retained after incurring the direct costs associated with producing and transporting goods to a saleable location.	Financial
Food gross margin was up 80bps at 32.5%. This was driven by supply chain effi ciencies and effective management of promotional activity – more than offsetting commodity price inﬂ ation	Financial
Global retail sales£5.8bn  4.5%Defi nition: Global retail sales to the customer from both owned and franchise businesses	Financial
"Our strategy is to be more specialist and focus on quality and innovation. Through improvements in availability and choice, we made M&S food more relevant to our customers, more often"	Intellectual
Defi nition: Sales growth from those stores which have been open for 12 months. The Food division has seen 18 quarters of positive like-for-like sales growth and our customer satisfaction ratings are at an all-time high.	Financial
"Defi nition: Year-on-year increase in weighted average UK selling space. We continue to grow Food space, particularly our successful M&S Simply Food format. Looking aheadWe will continue to exploit the opportunity in our Food business – maintaining our specialist strategy and growing our Food space. The planned opening of new Food space will add c.2.5% in 2014/15. Food gross margin is expected to grow by 10bps to 30bps due to further operational effi cienc"	Financial
"General Merchandise UK gross margin50.7% 110 bpsDefi nition: Gross margin reﬂ ects the percentage of sales revenue retained after incurring the direct costs associated with producing and transporting goods to a saleable location.Due to the highly competitive market, GM gross margin was down 110bps at 50.7% as a result of increased markdown and promotional cost. Global retail sales£6.1bn  1.7%Defi nition: Global retail sales to the customer from both owned and franchise businesses"	Financial
ROCE14.8%LY 15.8%10/11 11/12 12/1316.7%2 16.4%2 15.8%1Defi nition: Return on capital employed is a relative profi t measurement that demonstrates the return the business is generating from its net operating assets.The reduction in ROCE from last year reﬂ ects a reduction in underlying earnings and an increase in average net operating assets	Financial
"Dividend per share17.0p Level10/11 11/12 12/1317.0 17.0 17.0Defi nition: Dividend per share declared in respect of the year.The Board is recommending a fi nal dividend of 10.8p per share, resulting in a total dividend of 17.0p, in line with last year. The Board remains committed to a progressive policy with dividends broadly twice covered by earnings"	Unclassified
"Underlying earnings per share32.2p 0.9%10/11 11/12 12/1334.8p2 34.9p2 31.9p1Defi nition: Earnings per share (EPS) is the underlying profi t divided by the average number of ordinary shares in issue.Underlying earnings per share increased by 0.9% to 32.2p per share. The weighted average number of shares in issue during the period was 1,615.0m (last year 1,599.7m)."	Financial
"Looking aheadWe have previously announced our plan to improve free cash ﬂ ow from 2014/15, as we continue to reduce capital expenditure, deliver a progressive improvement to gross margin and improve business performance.We have worked hard to prepare our business for the future. Now we are focused on delivering the results from this investment and driving returns for our shareholders"	Financial
"Our KPIs have been updated in line with our future plans for the business. This includes our growth ambitions in online and international, a greater focus on margin improvements and recognition of sales through our franchise partners reported as global retail sales."	Financial
"Underlying Group profi t before tax£622.9m 3.9%10/11 11/12 12/13£714.3m2 £705.9m2 £648.1m1Defi nition: Underlying profi t provides additional useful information on the underlying performance of the business adjusting for either income or charges which are both one-off and signifi cant.As we responded to a highly promotional marketplace, UK gross margin was down 20bps. Whilst we worked hard to mitigate impact on profi tability, this factor, coupled with a 3.5% increase in UK operating costs, impacted underlying Group PBT."	Financial
"Looking aheadWe will continue to improve our GM business with a focus on style and quality. As a result of operational improvements, we expect to improve our GM gross margin in FY2014/15 by c.100bps through a combination of tactical changes, new systems and a new approach to sourcing, as well as early benefi ts from structural improvements."	Financial
	
"Defi nition: Sales from the International business including retail sales for owned business and wholesale sales to franchise partners.Our priority markets delivered a good performance with strong growth in India and our ﬂ agship stores in China, driven by an increase in like-for-like sales and the opening of new space. While trading in the Republic of Ireland continued to be diffi cult, performance in our European business improved. Our franchise business across the Middle East and Asia continued to perform well"	Financial
"Defi nition: Year-on-year increase in operating profi t generated by the International business.We increased International operating profi t by 2.1%, which also takes into account pre-opening costs from our owned stores"	Financial
"Percentage of M&S products with a Plan A quality57%Defi nition: Plan A qualities are best practice environmental or social standards and are measured by the volumes of products sold worldwide. These include factory best practices and the use of sustainable raw materials such as sustainable wood, fi sh and cotton, as well as Fairtrade and recycled materials. We have again extended the number of products featuring a Plan A quality – helping to make our products, suppliers and raw materials more effi cient and resilient."	Natural
"Gross greenhouse gas emissions566,000tonnes CO2e(No last year equivalent)Defi nition: Total gross CO2e emissions resulting from M&S operated activities worldwide calculated in compliance with the WRI/ WBCSD GHG Protocol Corporate Accounting and Reporting Standard (Revised) using revised carbon conversion factors published by DECC/ DEFRA in June 2013. This is the equivalent of 30 tonnes per 1,000 sq ft of salesﬂ oor. Our net emissions are offset to zero"	Natural
Looking aheadOur aim is for all M&S products to have at least one Plan A quality by 2020. We have targets to improve energy effi ciency by 50% and reduce refrigeration gas emissions by 80% by 2020. We also plan to continue to offset our gross greenhouse gas emissions to zero (carbon neutra	Natural
"Defi nition: Weekly visits to our UK desktop, tablet, mobile and app sites.As customer shopping habits continue to evolve, and as part of the new M&S.com, we launched a dedicated tablet platform and updated versions of all our mobile sites and apps. Visits from tablet devices grew by around 90% this year."	Financial
M&S.com sales£800.1m 22.8%Defi nition: Total multi-channel sales including web to home and Shop Your Way transactions.Our new ﬂ agship M&S.com website offers customers an improved browsing and buying experience. M&S.com has delivered a strong performance in 13/14 and outperformed the market with sales up 22.8%	Financial
Looking aheadAs our new website settles we are encouraging more customers to shop with M&S online. Our infrastructure investment will help us further improve our delivery proposition and create a more effi cient and more profi table online channel.	Financial
"9.3%Defi nition: Year-on-year increase in International selling space International space is expected to grow by c.10% in 2014/15.Looking aheadWe will expand our presence through opening new space, growing our food business and increasing our franchise operations. Over the next three years we will grow International revenues by 25% and grow International operating profi t by 40%"	Financial
	
"1. Marc BollandChief Executive 2. Patrick Bousquet-ChavanneExecutive Director, Marketing & Business Development3. John DixonExecutive Director, General Merchandise4. Steve RoweExecutive Director, Food5. Alan StewartChief Finance Offi cer6. Laura Wade-Gery Executive Director, Multi-channel E-commerce7. Andy AdcockTrading Director, Food8. Sacha BerendjiRetail Director9. Clem Const"	Unclassified
Director of Property10. Tanith DodgeDirector of Human Resources11. Steve FinlanDirector of International Operations12. Dominic FryDirector of Communicationsand Investor Relations13. Jan HeereDirector of International14. Dirk LembregtsDirector of Supply Chain15. Amanda MellorGroup Secretary and Head of Corporate Governance16. Darrell SteinDirector of IT	Unclassified
"Having the right team in place is crucial to delivering our plan, and this year we continued to benefi t from the wealth of experience on our Management Committee. Our leadership team is composed of people with extensive and broad careers at M&S, as well as those brought in from outside with specialist expertise. The team has wide-reaching global experience, which is an essential asset as we become a more internationally-focused retailer. Together they have helped to build a signifi cantly stronger M&S."	Human
"In March this year, we announced that Clem Constantine, Director of Property, and Darrell Stein, Director of IT, will be leaving the business in the summer. Both of their roles have signifi cantly changed recently as we will be opening less GM space which changes our property focus, and our new e-commerce platform has now been delivered. Clem has brought his considerable expertise to growing our store network and Darrell has played an integral role in delivering M&S.com. I wish them both all the very best for the future"	Unclassified
"made this year would not have been possible without the dedication of all our employees. Our customers constantly tell us that they recognise the high levels of commitment among our people. I would like to thank every employee for their enthusiasm, hard work and passion over the last year."	Social_Relationship
"The progress that M&S has made this year would not have been possible without the dedication of all our employees.I would like to thank ever y employee for their enthusiasm,hard work and passion over the last year."	Human
	
"e believe that effective risk management is critical to the achievement of our strategic objectives and the long-term sustainable growth of our business.What is our approach to risk management?The Board has overall accountability for ensuring that risk is effectively managed across the Group and, on behalf of the Board, the Audit Committee reviews the effectiveness of the Group Risk Process. Each business area is responsible for identifying, assessing and managing the risks in their respective area."	Unclassified
"Risks are identifi ed and assessed by all business areas half-yearly and are measured against a defi ned set of criteria, considering likelihood of occurrence and potential impact to the Group. The Group Risk function facilitates a risk identifi cation and assessment exercise with the Executive Board members. This information is combined with a consolidated view of the business area risks. The top risks (based on likelihood and impact) form our Group Risk Profi le, which is reported to the Executive Board for review and challenge, ahead of it being submitted to Group Board for fi nal review and approval"	Unclassified
